reaction formula	model.dG0	dG0_prime	dGm_prime	dG0_std
3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c	nan	nan	nan	0.0
3hoctaACP_c --> h2o_c + toctd2eACP_c	nan	nan	nan	0.0
3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c	nan	nan	nan	0.0
3haACP_c --> but2eACP_c + h2o_c	nan	nan	nan	0.0
3hhexACP_c --> h2o_c + thex2eACP_c	nan	nan	nan	0.0
3hoctACP_c --> h2o_c + toct2eACP_c	nan	nan	nan	0.0
3hcinnm_c + h_c + nadh_c + o2_c --> dhcinnm_c + h2o_c + nad_c	-483.695254756	-443.763740962	-419.462740786	6.97662547396
3hpppn_c + h_c + nadh_c + o2_c --> dhpppn_c + h2o_c + nad_c	-483.695254756	-443.764590758	-419.463590583	6.97662547396
3dhguln_c + atp_c --> 3dhgulnp_c + adp_c + h_c	27.0764293286	-13.6642824758	-13.6642824758	2.39763647214
3ump_p + h2o_p --> pi_p + uri_p	-13.5378679272	-15.0990594632	-32.2138969979	3.63355238141
3cmp_p + h2o_p --> cytd_p + pi_p	-20.5548181273	-21.8938089863	-39.008646521	4.26366781175
3amp_p + h2o_p --> adn_p + pi_p	-14.8603769363	-16.2500307683	-33.364868303	5.76878036851
3gmp_p + h2o_p --> gsn_p + pi_p	-11.0885861824	-12.3806983598	-29.4955358945	6.73131274435
3odecACP_c + h_c + nadph_c <=> 3hdecACP_c + nadp_c	nan	nan	nan	0.0
3oddecACP_c + h_c + nadph_c <=> 3hddecACP_c + nadp_c	nan	nan	nan	0.0
3ocddec5eACP_c + h_c + nadph_c --> 3hcddec5eACP_c + nadp_c	nan	nan	nan	0.0
3omrsACP_c + h_c + nadph_c <=> 3hmrsACP_c + nadp_c	nan	nan	nan	0.0
3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c	nan	nan	nan	0.0
3opalmACP_c + h_c + nadph_c <=> 3hpalmACP_c + nadp_c	nan	nan	nan	0.0
3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c	nan	nan	nan	0.0
3ooctdACP_c + h_c + nadph_c <=> 3hoctaACP_c + nadp_c	nan	nan	nan	0.0
3ocvac11eACP_c + h_c + nadph_c --> 3hcvac11eACP_c + nadp_c	nan	nan	nan	0.0
actACP_c + h_c + nadph_c <=> 3haACP_c + nadp_c	nan	nan	nan	0.0
3ohexACP_c + h_c + nadph_c <=> 3hhexACP_c + nadp_c	nan	nan	nan	0.0
3ooctACP_c + h_c + nadph_c <=> 3hoctACP_c + nadp_c	nan	nan	nan	0.0
h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c	nan	nan	nan	0.0
dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c	nan	nan	nan	0.0
cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c	nan	nan	nan	0.0
ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c	nan	nan	nan	0.0
cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c	nan	nan	nan	0.0
h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c	nan	nan	nan	0.0
h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c	nan	nan	nan	0.0
h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c	nan	nan	nan	0.0
h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c	nan	nan	nan	0.0
butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c	nan	nan	nan	0.0
h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c	nan	nan	nan	0.0
LalaDgluMdap_p + atp_c + h2o_c --> LalaDgluMdap_c + adp_c + h_c + pi_c	nan	nan	nan	0.0
LalaDgluMdap_e <=> LalaDgluMdap_p	nan	nan	nan	0.0
3ump_e <=> 3ump_p	0.0	0.0	0.0	0.0
dopa_p + h2o_p + o2_p --> 34dhpac_p + h2o2_p + nh4_p	nan	nan	nan	0.0
4hoxpacd_e <=> 4hoxpacd_p	0.0	0.0	0.0	0.0
h2o_c + phthr_c --> 4hthr_c + pi_c	-13.6612832163	-14.3639120819	-31.4787496167	2.41080250663
LalaDgluMdapDala_c + h2o_c --> LalaDgluMdap_c + ala__D_c	nan	nan	nan	0.0
LalaDgluMdapDala_p + h2o_p --> LalaDgluMdap_p + ala__D_p	nan	nan	nan	0.0
LalaDgluMdapDala_p + atp_c + h2o_c --> LalaDgluMdapDala_c + adp_c + h_c + pi_c	nan	nan	nan	0.0
LalaDgluMdapDala_e <=> LalaDgluMdapDala_p	nan	nan	nan	0.0
5dglcn_c + h_c + nadph_c <=> glcn_c + nadp_c	-71.1650428827	-31.2290539078	-31.2290539078	6.48216283119
5dglcn_p + h_p <=> 5dglcn_c + h_c	0.0	0.0	0.0	0.0
5dglcn_e <=> 5dglcn_p	0.0	0.0	0.0	0.0
dad_5_c + h2o_c --> 5drib_c + ade_c	nan	nan	nan	0.0
ru5p__D_c <=> ara5p_c	-2.61580241896	-2.64364468586	-2.64364468586	3.4098194466
ACP_c + atp_c + ttdca_c --> amp_c + myrsACP_c + ppi_c	nan	nan	nan	0.0
ACP_c + atp_c + ttdcea_c --> amp_c + ppi_c + tdeACP_c	nan	nan	nan	0.0
ACP_c + atp_c + hdca_c --> amp_c + palmACP_c + ppi_c	nan	nan	nan	0.0
ACP_c + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c	nan	nan	nan	0.0
ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c	nan	nan	nan	0.0
ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c	nan	nan	nan	0.0
ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c	nan	nan	nan	0.0
ACP_c + atp_c + dca_c --> amp_c + dcaACP_c + ppi_c	nan	nan	nan	0.0
ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c	nan	nan	nan	0.0
aact_c + h2o_c + o2_c --> h2o2_c + mthgxl_c + nh4_c	nan	nan	nan	0.0
dtdp4aaddg_c + unagamu_c --> dtdp_c + h_c + unagamuf_c	nan	nan	nan	0.0
14glucan_c --> malthx_c	nan	nan	nan	0.0
14glucan_p --> malthx_p	nan	nan	nan	0.0
arbt6p_c + h2o_c --> g6p_c + hqn_c	nan	nan	nan	0.0
4abut_c + akg_c --> glu__L_c + sucsal_c	4.89292044668	4.88955376964	4.88955376964	2.90088176383
4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c	34.6872588897	-45.1877470979	-45.1877470979	3.88313686989
4abut_p + h_p --> 4abut_c + h_c	0.0	0.0	0.0	0.0
4abut_e <=> 4abut_p	0.0	0.0	0.0	0.0
acac_c + accoa_c --> aacoa_c + ac_c	5.72616223071	5.74342779268	5.74342779268	2.78588015621
2.0 accoa_c <=> aacoa_c + coa_c	26.1669901984	26.1195411465	26.1195411465	1.70560770319
acac_p + h_p <=> acac_c + h_c	0.0	0.0	0.0	0.0
acac_e <=> acac_p	0.0	0.0	0.0	0.0
acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c	25.3424088581	-14.5214251069	2.59341242786	2.37886180519
acald_e <=> acald_p	0.0	0.0	0.0	0.0
acald_p <=> acald_c	0.0	0.0	0.0	0.0
accoa_c + anth_c --> acanth_c + coa_c	-18.0813421474	-18.2318743712	-18.2318743712	6.12470059514
adocbip_c + gtp_c + h_c --> agdpcbi_c + ppi_c	nan	nan	nan	0.0
accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c	40.8441652164	-0.367173296464	-0.367173296464	3.00335854193
atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c	12.8718933899	11.0954851011	11.0954851011	5.83615717838
acgal1p_p + h2o_p --> acgal_p + pi_p	-21.1157332721	-22.3382802612	-39.4531177959	2.73416780545
acgal1p_e <=> acgal1p_p	0.0	0.0	0.0	0.0
acgal_e <=> acgal_p	0.0	0.0	0.0	0.0
acgam1p_p + h2o_p --> acgam_p + pi_p	-19.0223170155	-20.2448640046	-37.3597015393	5.14395064674
acgam1p_e <=> acgam1p_p	0.0	0.0	0.0	0.0
acgam_c + atp_c --> acgam6p_c + adp_c + h_c	27.8327904004	-12.633421106	-12.633421106	5.03300492658
uacgam_c + udcpp_c --> ump_c + unaga_c	4.04595937292	4.96412089858	4.96412089858	9.78733915058
acgam_p + pep_c --> acgam6p_c + pyr_c	-41.4497593612	-41.7351477535	-41.7351477535	5.12637688574
acgam_e <=> acgam_p	0.0	0.0	0.0	0.0
acglu_c + atp_c --> acg5p_c + adp_c	29.54194239	28.9764748924	28.9764748924	5.86656573283
accoa_c + glu__L_c --> acglu_c + coa_c + h_c	14.7567642478	-25.4395612137	-25.4395612137	6.44624895024
2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c	-63.0556398248	-23.1214250781	-23.1214250781	9.72135450888
ac_c + atp_c <=> actp_c + adp_c	11.5032301124	11.0800831855	11.0800831855	1.08755559348
h_c + 2.0 pyr_c --> alac__S_c + co2_c	-73.4120770128	-33.4777419646	-33.4777419646	7.39459813283
acmum6p_c + h2o_c --> acgam6p_c + lac__D_c	-8.32140529473	-8.22110122783	-25.3359387625	6.48161792601
uacmamu_c + unaga_c --> h_c + udp_c + unagamu_c	nan	nan	nan	0.0
acmana_p + pep_c --> acmanap_c + pyr_c	-42.9976863746	-43.283074767	-43.283074767	6.06993987375
acmana_e <=> acmana_p	0.0	0.0	0.0	0.0
acmum_p + pep_c --> acmum6p_c + pyr_c	-42.2061204331	-42.5903214498	-42.5903214498	2.52610840106
acmum_e --> acmum_p	0.0	0.0	0.0	0.0
acnam_p + h_p --> acnam_c + h_c	0.0	0.0	0.0	0.0
acnam_e <=> acnam_p	0.0	0.0	0.0	0.0
acnam_c --> acmana_c + pyr_c	7.89873438234	7.8848980152	-9.22993951952	1.74929752215
btcoa_c + fad_c <=> b2coa_c + fadh2_c	-3.65010043515	36.3193143413	36.3193143413	7.77145413286
fad_c + hxcoa_c <=> fadh2_c + hx2coa_c	1.54619295741	41.5166350877	41.5166350877	7.25449899526
fad_c + occoa_c <=> fadh2_c + oc2coa_c	2.67193466045	42.6403397276	42.6403397276	6.32152490592
dcacoa_c + fad_c <=> dc2coa_c + fadh2_c	2.67193466045	42.6403397276	42.6403397276	6.32152490592
ddcacoa_c + fad_c <=> dd2coa_c + fadh2_c	2.67193466045	42.6403397276	42.6403397276	6.32152490592
fad_c + tdcoa_c <=> fadh2_c + td2coa_c	2.67193466045	42.6403397276	42.6403397276	6.32152490592
fad_c + pmtcoa_c <=> fadh2_c + hdd2coa_c	4.81659783294	44.7850029001	44.7850029001	6.99780052641
fad_c + stcoa_c <=> fadh2_c + od2coa_c	2.67193466045	42.6403397276	42.6403397276	6.32152490592
ACP_c + accoa_c <=> acACP_c + coa_c	nan	nan	nan	0.0
acorn_c + h2o_c --> ac_c + orn_c	1.65179691824	2.06781940964	-15.0470181251	6.68149371778
acolipa_p --> acolipa_e	nan	nan	nan	0.0
acon_T_c <=> acon_C_c	3.69548033589	3.61780189591	3.61780189591	5.44338930061
acon_T_c + amet_c --> aconm_c + ahcys_c	54.0272038353	54.0336949224	54.0336949224	195996.398689
cit_c <=> acon_C_c + h2o_c	8.32204243046	8.29790723906	8.29790723906	2.24415573847
acon_C_c + h2o_c <=> icit_c	-0.688257212209	-0.666937290552	-0.666937290552	2.24575883652
acorn_c + akg_c <=> acg5sa_c + glu__L_c	-13.064478289	-12.8523188632	-12.8523188632	6.37413273688
apoACP_c + coa_c --> ACP_c + h_c + pap_c	nan	nan	nan	0.0
ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c	36.4414098545	-4.61999479405	-4.61999479405	0.800625612343
acser_e <=> acser_p	0.0	0.0	0.0	0.0
acser_c --> acser_p	0.0	0.0	0.0	0.0
ac_p + h_p <=> ac_c + h_c	0.0	0.0	0.0	0.0
ac_p + na1_p --> ac_c + na1_c	0.0	0.0	0.0	0.0
ac_e <=> ac_p	0.0	0.0	0.0	0.0
adn_c + h2o_c + h_c --> ins_c + nh4_c	nan	nan	nan	0.0
4adcho_c --> 4abz_c + h_c + pyr_c	-20.2734815174	-60.2013146205	-77.3161521552	13.0455985552
chor_c + gln__L_c --> 4adcho_c + glu__L_c	-17.4054082323	-17.427338837	-17.427338837	6.04634559243
ade_c + h2o_c + h_c --> hxan_c + nh4_c	nan	nan	nan	0.0
ade_p + h_p <=> ade_c + h_c	0.0	0.0	0.0	0.0
ade_e <=> ade_p	0.0	0.0	0.0	0.0
amp_c + atp_c <=> 2.0 adp_c	-44.725248272	-5.17933079749	-5.17933079749	0.316204717578
amp_c + gtp_c <=> adp_c + gdp_c	-42.2174854676	-2.67197428385	-2.67197428385	2.64186438744
amp_c + itp_c <=> adp_c + idp_c	-48.4449459156	-8.89936793717	-8.89936793717	2.89248993088
amet_c + h_c --> ametam_c + co2_c	-61.029005746	-21.0868508212	-38.201688356	6.08662758862
atp_c --> camp_c + ppi_c	46.6265576331	5.8884976518	-11.2263398829	1.95819552174
adn_c + atp_c --> adp_c + amp_c + h_c	27.0432420219	-13.2935890867	-13.2935890867	2.82432510082
adn_c + h2o_c --> ade_c + rib__D_c	-4.79675341528	-4.86745670555	-21.9822942403	3.45925604005
adn_p + h_p --> adn_c + h_c	0.0	0.0	0.0	0.0
adn_p + h_p <=> adn_c + h_c	0.0	0.0	0.0	0.0
adn_e <=> adn_p	0.0	0.0	0.0	0.0
adocbi_c + atp_c --> adocbip_c + adp_c + h_c	nan	nan	nan	0.0
agdpcbi_c + rdmbzi_c --> adocbl_c + gmp_c + h_c	nan	nan	nan	0.0
adocbl_p + atp_c + h2o_c --> adocbl_c + adp_c + h_c + pi_c	13.4151461123	-28.0979169853	-45.21275452	0.603476659232
adocbl_e + h_p --> adocbl_p + h_c	0.0	0.0	0.0	0.0
adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c	59.9269414626	-20.7498580893	-37.8646956241	6.46809943673
ade_c + prpp_c --> amp_c + ppi_c	19.219963633	-21.6035605237	-21.6035605237	2.64457010993
aps_c + atp_c --> adp_c + h_c + paps_c	30.3473175371	-9.77143448146	-9.77143448146	11.4795783538
dcamp_c <=> amp_c + fum_c	5.3112066786	5.32533616365	-11.7895013711	2.7248778608
25aics_c <=> aicar_c + fum_c	5.10429624398	5.2503242793	-11.8645132554	5.80176352765
asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c	98.4775988121	17.0255789968	17.0255789968	4.2211349465
acgam6p_c + h2o_c --> ac_c + gam6p_c	-7.82999909368	-7.6951937246	-24.8100312593	7.46855275086
anhgm3p_c + h2o_c --> LalaDgluMdap_c + anhgm_c	nan	nan	nan	0.0
anhgm3p_p + h2o_p --> LalaDgluMdap_p + anhgm_p	nan	nan	nan	0.0
anhgm3p_c + h2o_c --> acgam_c + anhm3p_c	nan	nan	nan	0.0
anhgm3p_p + h_p --> anhgm3p_c + h_c	nan	nan	nan	0.0
anhgm4p_c + h2o_c --> LalaDgluMdapDala_c + anhgm_c	nan	nan	nan	0.0
anhgm4p_p + h2o_p --> LalaDgluMdapDala_p + anhgm_p	nan	nan	nan	0.0
anhgm4p_c + h2o_c --> ala__D_c + anhgm3p_c	nan	nan	nan	0.0
anhgm4p_p + h2o_p --> ala__D_p + anhgm3p_p	nan	nan	nan	0.0
anhgm4p_c + h2o_c --> acgam_c + anhm4p_c	nan	nan	nan	0.0
anhgm4p_p + h_p --> anhgm4p_c + h_c	nan	nan	nan	0.0
anhgm_c + h2o_c --> acgam_c + anhm_c	nan	nan	nan	0.0
adphep_DD_c --> adphep_LD_c	0.0	0.0	0.0	0.0
agm_c + h2o_c --> ptrc_c + urea_c	-57.6800640557	-57.6790746444	-74.7939121791	10.9645929438
anhgm_p + h_p --> anhgm_c + h_c	nan	nan	nan	0.0
agm_e <=> agm_p	0.0	0.0	0.0	0.0
1ddecg3p_c + ddcaACP_c --> ACP_c + pa120_c	nan	nan	nan	0.0
1tdecg3p_c + myrsACP_c --> ACP_c + pa140_c	nan	nan	nan	0.0
1tdec7eg3p_c + tdeACP_c --> ACP_c + pa141_c	nan	nan	nan	0.0
1hdecg3p_c + palmACP_c --> ACP_c + pa160_c	nan	nan	nan	0.0
1hdec9eg3p_c + hdeACP_c --> ACP_c + pa161_c	nan	nan	nan	0.0
1odecg3p_c + ocdcaACP_c --> ACP_c + pa180_c	nan	nan	nan	0.0
1odec11eg3p_c + octeACP_c --> ACP_c + pa181_c	nan	nan	nan	0.0
acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c	54.4391107722	15.5264164204	32.6412539551	3.14559940183
ag_c + h_e --> ag_e + h_c	0.0	0.0	0.0	0.0
ahcys_c + h2o_c --> ade_c + rhcys_c	-14.7746308239	-14.8453128377	-31.9601503725	5.37041101523
10fthf_c + aicar_c <=> fprica_c + thf_c	3.31465805638	4.22649876179	4.22649876179	5.80176239259
air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c	21.6536177492	-59.5565498522	-59.5565498522	10.6972456522
5aizc_c <=> 5caiz_c	2.24998601161	-36.7191527845	-36.7191527845	10.6742448687
akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c	-22.4043012516	-22.3013588881	-22.3013588881	7.68782565676
akg_p + h_p <=> akg_c + h_c	0.0	0.0	0.0	0.0
akg_e <=> akg_p	0.0	0.0	0.0	0.0
alaala_c + h2o_c --> 2.0 ala__D_c	-2.079751378	-2.08383135087	-19.1986688856	8.21647335514
alaala_p + atp_c + h2o_c --> adp_c + alaala_c + h_c + pi_c	13.4151461123	-28.0979169853	-45.21275452	0.603476659232
2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c	15.4948974903	-26.0140856344	-26.0140856344	8.13234030602
alaala_e <=> alaala_p	0.0	0.0	0.0	0.0
LalaDglu_c <=> LalaLglu_c	nan	nan	nan	0.0
ala__L_c <=> ala__D_c	-0.0390694996343	-0.0390694996343	-0.0390694996343	1.9909490914
ala__D_c + pydx5p_c --> pyam5p_c + pyr_c	0.0207828484428	-0.11872857707	-0.11872857707	4.28879853675
akg_c + ala__L_c <=> glu__L_c + pyr_c	-1.43599881638	-1.43784140478	-1.43784140478	1.0512769325
ala__L_c + pydx5p_c --> pyam5p_c + pyr_c	-0.0182866511914	-0.157798076704	-0.157798076704	3.81232610097
ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c	nan	nan	nan	0.0
ala__L_p + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c	13.4151461123	-28.0979169853	-45.21275452	0.603476659232
ala__L_p + h_p --> ala__L_c + h_c	0.0	0.0	0.0	0.0
ala__L_p + na1_p --> ala__L_c + na1_c	0.0	0.0	0.0	0.0
ala__L_e <=> ala__L_p	0.0	0.0	0.0	0.0
glyald_c + h_c + nadh_c <=> glyc_c + nad_c	-81.953758909	-42.0192244085	-42.0192244085	3.97086195359
etoh_c + nad_c <=> acald_c + h_c + nadh_c	64.0541633878	24.1196318604	24.1196318604	0.639871431571
h2o_c + nad_c + pacald_c --> 2.0 h_c + nadh_c + pac_c	67.5768062375	27.64227471	27.64227471	3.94362344805
acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c	36.5650739296	-43.3126544967	-43.3126544967	2.56021288728
acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c	39.9851757643	-39.8925951657	-39.8925951657	2.61297642001
h2o_c + nadp_c + ppal_c --> 2.0 h_c + nadph_c + ppa_c	37.583201055	-42.2998875796	-42.2998875796	5.11192384155
btal_c + h2o_c + nad_c --> but_c + 2.0 h_c + nadh_c	41.8006142832	-38.0885956561	-38.0885956561	7.6578057575
all__D_c + atp_c --> adp_c + all6p_c + h_c	30.3375938488	-10.0021212761	-10.0021212761	3.54617333106
all6p_c <=> allul6p_c	nan	nan	nan	0.0
alltt_c + 2.0 h2o_c + 2.0 h_c --> co2_c + 2.0 nh4_c + urdglyc_c	nan	nan	nan	0.0
alltn_c + h2o_c --> alltt_c + h_c	-11.5335682377	-51.9117733201	-51.9117733201	18.5390602714
alltn_p + h_p <=> alltn_c + h_c	0.0	0.0	0.0	0.0
alltn_e <=> alltn_p	0.0	0.0	0.0	0.0
allul6p_c <=> f6p_c	nan	nan	nan	0.0
all__D_p + atp_c + h2o_c --> adp_c + all__D_c + h_c + pi_c	13.4151461123	-28.0979169853	-45.21275452	0.603476659232
all__D_e <=> all__D_p	0.0	0.0	0.0	0.0
alpp_p + pe160_p --> 2agpe160_p + lpp_p	nan	nan	nan	0.0
alpp_p + pg160_p --> 2agpg160_p + lpp_p	nan	nan	nan	0.0
h_c + mthgxl_c + nadph_c --> acetol_c + nadp_c	-66.243215874	-26.3086421695	-26.3086421695	3.37460278453
acetol_c + h_c + nadh_c --> 12ppd__R_c + nad_c	-63.0200704588	-23.0855386048	-23.0855386048	1.91101716702
altrn_c --> 2ddglcn_c + h2o_c	-37.429516792	-37.429105121	-37.429105121	7.27776379899
anhm3p_c + h2o_c --> LalaDgluMdap_c + anhm_c	nan	nan	nan	0.0
anhm4p_c + h2o_c --> LalaDgluMdapDala_c + anhm_c	nan	nan	nan	0.0
anhm4p_c + h2o_c --> ala__D_c + anhm3p_c	nan	nan	nan	0.0
malt_c + malttr_c --> glc__D_c + maltttr_c	-1.16795134909	-1.1679468746	-1.1679468746	4.4062880136
malt_c + maltttr_c --> glc__D_c + maltpt_c	-1.16795134909	-1.16794373667	-1.16794373667	4.4062880136
